Scenario_ID,Best_Group_By_Throughput,Best_Throughput,Scenario
0,Group 1,1,"{'green': 60, 'yellow': 0, 'red': 0}"
1,Group 1,9,"{'green': 50, 'yellow': 5, 'red': 5}"
2,Group 1,7,"{'green': 40, 'yellow': 10, 'red': 10}"
3,Group 2,9,"{'green': 50, 'yellow': 5, 'red': 5}"
4,Group 1,10,"{'green': 30, 'yellow': 15, 'red': 15}"
5,Group 2,4,"{'green': 50, 'yellow': 5, 'red': 5}"
6,Group 1,0,"{'green': 25, 'yellow': 15, 'red': 20}"
7,Group 1,0,"{'green': 40, 'yellow': 10, 'red': 10}"
8,Group 1,0,"{'green': 60, 'yellow': 0, 'red': 0}"
9,Group 1,0,"{'green': 50, 'yellow': 5, 'red': 5}"
10,Group 1,0,"{'green': 40, 'yellow': 10, 'red': 10}"
11,Group 1,0,"{'green': 45, 'yellow': 5, 'red': 10}"
12,Group 1,0,"{'green': 30, 'yellow': 15, 'red': 15}"
13,Group 1,0,"{'green': 35, 'yellow': 10, 'red': 15}"
14,Group 1,0,"{'green': 25, 'yellow': 15, 'red': 20}"
15,Group 1,0,"{'green': 40, 'yellow': 10, 'red': 10}"
